blaser_FT	ft-ppl
4.74	47.088367
4.59	72.324382
4.67	41.722646
4.77	140.507385
4.93	26.519061
3.88	74.207464
3.96	199.610626
4.06	71.606672
4.16	35.188229
4.45	89.965767
4.78	12.695657
3.55	115.910639
4.95	21.862463
4.78	28.037284
4.83	61.801851
5.1	15.436357
4.59	20.200118
4.54	122.632630
4.6	30.883293
4.31	53.024972
4.79	61.182493
4.51	86.778416
4.33	110.320434
4.81	808.219176
4.38	286.789264
4.4	39.731806
4.46	87.582683
5.02	62.053885
4.77	64.073499
3.9	217.876480
4.72	21.195859
4.47	44.548762
4.82	25.467774
4.27	35.071189
4.22	257.416629
4.2	104.113891
3.96	19.846328
3.61	54.456628
3.41	55.249586
3.56	29.601838
3.77	103.566900
4.81	42.193560
3.76	39.439787
4.06	39.236910
4.71	43.096275
3.65	24.175055
4.33	243.791089
5.01	148.705439
4.64	75.389793
4.54	31.749816
4.64	41.273585
4.47	84.612316
3.67	31.253438
4.73	25.637142
3.73	221.629629
3.49	295.296430
4.06	99.000813
4.58	28.489041
4.88	24.148090
4.97	29.348753
4.78	102.693681
4.36	48.405429
4.9	29.317519
4.64	32.994692
5.1	9.994156
4.88	16.805361
4.66	340.165252
4.8	7.318835
4.62	4.661556
4.96	17.339817
5.03	36.643100
4.64	10.788041
4.76	16.818753
4.51	18.627531
3.96	623.888544
4.22	57.122520
4.56	53.189600
4.65	51.952633
4.71	67.353716
4.82	56.610842
4.4	21.229942
3.45	45.902518
4.71	22.593434
4.93	99.783614
3.96	136.688105
4.36	188.761756
4.49	109.254425
4.76	15.470792
3.22	77.601468
4.13	59.810959
4.66	73.969600
4.72	29.173228
3.32	998.742038
4.21	82.910547
4.6	60.926037
4.4	59.335405
3.67	24.909234
4.78	63.205444
4.59	83.793681
4.31	56.987090
4.37	57.288150
4.85	45.936730
4.55	54.646257
3.86	278.519211
4.58	13.706855
4.9	75.276962
4.23	55.508504
4.82	145.246760
4.48	12.424386
4.43	41.061364
4.66	171.693424
3.59	283.015080
3.66	138.784367
4.83	16.844841
4.33	72.208323
4.69	48.337340
4.46	18.771995
4.57	27.422914
4.5	77.331039
3.98	87.721905
4.83	13.804541
4.82	16.226139
4.15	25.035611
5	177.877841
4.28	14.465628
5.1	41.005825
3.92	24.938006
4.41	89.107998
4.92	43.361245
5.3	20.780518
4.32	9.849099
4.36	35.210342
4.32	215.194642
4.41	47.021369
4.54	27.094770
4.83	143.779282
4.93	25.484951
4.61	8.445710
3.32	54.412853
3.82	78.902182
4.5	73.294220
4.8	11.969452
4.06	48.726247
4.84	39.787934
4.76	31.620230
4.92	23.960385
4.85	69.950441
4.98	66.554326
4.67	24.622378
4.52	27.860760
3.93	442.574130
4.81	166.709043
4.25	93.366926
4.59	124.582821
3.83	54.851060
4.85	15.677684
5.32	63.695582
4.77	31.902364
4.36	162.403825
4.6	25.615727
3.72	117.508422
4.23	103.044843
4.8	110.215695
3.97	52.797523
4.78	17.208102
4.9	51.172004
4.27	57.931171
4.61	190.144649
3.5	69.826703
4.68	57.851835
4.44	172.696464
4.82	346.455037
4.63	50.336502
4.68	238.464799
4.4	282.408177
3.45	70.193754
4.62	3065.478243
4.62	102.106670
4.04	25.394590
4.35	103.713231
4.75	26.804823
4.47	50.744590
4.76	33.500998
4.17	53.936659
5.15	17.934007
4.35	14.219289
4.72	4.383966
4.68	44.062024
4.8	31.295022
4.77	22.081021
5.01	16.592071
4.12	29.296837
3.61	91.800176
3.6	58.976069
4.38	311.069086
4.48	132.225286
4.68	88.984565
5.01	21.622203
4.65	34.290276
4.57	12.550513
4.86	48.221910
4.8	102.901565
4.51	116.351927
4.11	50.911460
4.67	33.792105
5.05	16.812166
4.92	16.854877
4.8	373.705700
4.71	23.882005
4.86	24.153704
4.7	73.723463
4.99	23.294693
4.48	266.207405
4.79	47.026773
4.63	23.867513
4.9	64.099015
4.85	27.157581
4.9	48.002874
4.94	40.517803
5.1	40.978782
5.26	19.368362
4.58	29.909772
4.76	26.252225
4.56	215.118107
5.09	72.854309
4.93	41.031819
4.74	24.818524
4.68	167.496927
4.93	36.525200
4.73	37.877922
4.97	14.525077
4.65	16.670025
4.89	25.606751
4.59	28.811463
4.57	31.804198
4.92	19.563097
4.17	36.610414
4.98	86.758018
4.31	159.367714
4.28	86.393824
4.09	116.413083
4.36	61.328479
5.02	28.085039
4.76	54.571016
4.77	75.555446
4.93	26.332764
4.46	85.824160
4.91	22.024599
4.75	93.677440
4.57	25.785735
3.99	130.402831
4.28	373.605745
5.13	39.382122
4.82	46.828402
4.39	222.934923
4.8	45.331300
4.37	1177.583718
5.01	54.986264
4.6	34.104113
4.53	47.849371
4.68	35.364893
4.97	17.280795
4.49	135.194688
3.05	1103.922140
4.07	12.047745
4.76	18.708277
4.95	10.899926
4.56	45.475901
4.08	42.647262
4.46	20.885574
4.59	61.524109
3.89	151.644465
4.55	250.536324
3.45	807.900522
4.4	80.573260
5	50.720859
4.57	36.032151
4.89	75.292291
4.4	359.233861
4.27	68.619199
4.02	153.634575
4.8	29.054726
4.82	34.052106
4.9	41.213760
4.18	32.373625
4.52	32.522965
5	12.222039
4.7	18.440975
4.86	29.379347
4.82	19.982828
4.57	16.702086
4.74	20.882492
4.71	47.487351
4.81	43.453144
4.96	15.355068
4.54	14.500113
5.11	24.856304
4.66	82.947085
4.92	46.236656
4.68	12.605304
4.41	52.216327
4.66	40.329982
5.1	10.276326
4.6	178.153631
4.75	12.586361
4.3	28.317355
4.76	29.457102
4.35	9.600078
3.67	37.941878
4.43	44.240142
4.91	80.678370
4.41	252.903647
4.14	573.656482
3.95	51.120922
4.89	57.402203
4.5	87.617645
4.67	37.837459
4.29	103.842140
4.59	74.808955
4.82	168.604680
4.59	68.632780
4.4	518.102990
4.8	15.967421
4.84	24.192001
4.76	16.808407
4.93	38.955400
4.43	32.071354
5	19.873113
4.57	30.785100
4.27	22.713032
4.15	58.811560
4.84	20.442582
4.52	48.713934
4.84	55.488365
