blaser_TN	nos-ppl
4.92	102.283220
4.82	109.466403
4.66	57.246752
4.77	148.632776
4.93	39.263871
4.71	79.263251
3.96	205.713258
4.7	29.315493
4.16	45.285282
4.45	138.267888
4.78	16.499038
3.97	216.232191
4.94	29.287912
4.78	38.463058
4.83	65.289896
5.1	19.578639
4.8	20.517577
4.53	102.691526
4.6	60.334585
4.75	57.173478
4.82	79.328286
4.6	290.304089
4.92	161.027692
4.86	157.704017
4.65	230.542102
4.52	100.545704
4.64	122.505452
5.02	58.405663
4.76	111.081716
4.48	125.550716
4.7	30.871396
4.4	52.573933
4.82	29.122067
4.27	41.514054
3.76	402.937780
3.79	134.935397
4.2	97.642016
4.32	51.038450
3.41	57.252731
3.56	42.417863
4.03	100.995029
4.82	78.288982
4.77	20.868442
3.85	60.570295
4.74	39.796492
3.59	67.071297
4.46	107.296113
5.14	41.082349
4.76	65.952501
4.61	42.069786
4.7	102.604108
4.81	95.860578
4.49	53.984170
4.71	31.262231
4.67	84.804825
3.83	89.474290
4.66	51.059324
4.58	36.208355
4.88	36.948506
4.97	43.597606
4.78	138.059768
4.36	63.718669
4.9	35.220434
4.64	42.483680
5.1	16.993617
4.88	22.098490
4.74	306.987234
4.8	11.335584
4.62	8.057182
4.96	22.123040
5.03	45.466610
4.64	13.925256
4.76	24.833836
4.55	22.723345
4.51	593.780320
4.22	66.591213
4.6	57.977985
4.78	48.553249
4.71	77.955506
4.92	69.885162
4.34	30.392990
3.98	38.856473
4.71	30.321503
5.06	89.328368
4.63	264.710718
4.36	162.525220
4.53	67.102167
4.73	22.549957
4.62	124.143579
4.13	82.614290
4.66	78.605403
4.79	41.003772
4.35	313.756788
4.12	65.805517
4.99	43.384098
4.4	97.314370
3.6	44.973307
4.86	72.166880
4.59	95.429318
3.95	175.815394
4.31	64.480925
4.85	50.413296
4.55	49.277443
4.26	259.595948
4.72	14.916286
4.9	86.182624
4.23	66.395204
4.82	156.031645
4.6	14.582299
4.24	62.346593
4.71	592.805432
3.32	284.838464
3.9	133.478886
4.83	19.920100
4.42	54.786234
4.69	55.119779
4.46	25.445609
4.57	35.625926
4.5	90.905713
3.98	98.473407
4.83	18.506456
4.84	22.345806
4.51	11.839448
5	216.133333
4.56	37.187450
5.1	52.616543
3.5	274.534654
4.69	204.056332
4.92	52.394556
5.3	25.434133
4.32	14.049586
4.4	50.009207
4.32	194.204707
4.51	68.220229
4.54	39.823210
4.87	153.922164
5.09	28.185068
4.61	12.878631
4.2	35.569249
4.17	81.263462
4.5	189.486362
4.71	33.909299
3.93	59.738049
4.52	68.369183
4.73	52.776594
4.92	29.533571
4.78	62.205984
4.9	47.424274
4.76	24.133177
4.52	35.346685
3.98	708.163162
4.78	243.692762
4.25	104.741705
4.63	219.211614
4.88	250.074898
4.86	19.299569
5.32	84.366320
4.77	40.439158
4.59	151.503960
4.49	162.600410
3.85	212.658849
4.66	126.848051
4.82	70.932368
4.18	44.666441
4.78	26.720585
4.9	67.018004
4.39	52.558468
4.61	308.396467
4.62	50.415652
4.65	89.687825
4.38	573.092172
4.82	300.564463
4.7	87.600016
4.68	265.785038
4.4	356.921132
4.47	77.631483
4.45	1045.527380
4.62	120.989457
4.31	80.649714
4.35	170.966571
4.8	15.065015
4.47	84.898896
4.87	29.380398
4.88	77.185155
4.39	81.365359
4.9	20.803712
4.69	4.893354
4.71	28.688883
4.77	42.156446
4.77	26.878489
5.01	28.512450
3.99	58.583281
4.61	91.199039
2.99	127.272948
4.15	86.826553
4.48	136.027238
4.57	213.171148
5.01	27.097109
4.92	22.456088
4.52	23.590174
4.86	70.146709
4.8	125.301676
4.51	141.887602
4.52	81.887777
4.38	115.130590
5.05	22.181628
4.88	23.740907
4.8	376.494319
4.73	33.448140
4.86	42.758103
4.88	61.121375
4.86	49.596862
4.68	294.727550
4.79	64.237164
4.69	41.322541
4.9	72.608871
4.85	35.971826
4.9	60.505460
4.96	40.811956
5.1	76.431199
5.26	25.045020
4.58	36.153381
4.76	34.703182
4.56	329.627000
5.09	88.873931
4.93	50.332638
4.74	39.320219
4.67	118.716315
4.89	49.967839
4.73	46.447865
4.97	17.706590
4.24	18.084359
4.89	31.052311
4.59	40.571520
4.57	49.580440
4.97	18.014430
4.6	24.165852
4.99	71.483891
4.31	182.823965
4.8	38.094929
4.57	232.512081
4.99	168.508954
5.02	35.738631
4.76	87.852467
5.05	90.691094
4.99	48.898661
4.46	96.283548
5.19	29.738860
4.77	100.354016
4.64	32.731448
4.56	180.872703
4.28	311.690613
5.13	50.748002
4.82	55.609865
4.54	197.758280
4.8	54.483095
4.63	590.289074
5.01	55.600850
4.6	40.456806
4.86	40.494046
4.68	42.211219
4.97	22.830722
4.17	141.952568
3.7	113.620061
4.07	22.065349
4.72	23.443985
4.95	15.146542
4.7	47.006651
4.56	60.324747
4.49	25.085884
4.68	113.255864
3.89	247.478082
3.52	792.345716
3.07	727.237037
4.4	108.427929
4.87	81.948478
4.56	39.635074
4.89	108.850020
4.49	265.809753
4.35	144.002135
4.43	196.467323
4.8	37.294743
4.6	129.775323
4.9	46.580178
4.53	27.492038
4.52	40.519165
5	15.668514
4.7	23.142063
4.86	32.978798
4.82	29.568813
4.57	30.488442
4.79	32.557062
4.71	56.450401
4.84	59.140474
4.93	18.399671
4.6	20.556705
5.11	30.707741
4.66	116.607809
4.95	49.185314
4.66	22.089851
4.7	64.030129
4.55	64.645137
5.12	15.067971
4.6	206.849442
4.75	15.984478
4.3	37.131697
4.76	35.327594
4.76	14.536364
4.66	190.044124
4.32	52.454589
4.91	98.847414
4.38	40.558493
4.14	482.563690
4.91	89.248197
4.89	74.198123
4.63	97.164464
4.04	118.791684
4.29	115.114451
4.69	89.938530
4.82	187.538290
4.83	46.666548
4.6	151.755429
4.82	16.833351
4.84	34.966599
4.76	33.253029
4.93	49.875941
4.43	52.260653
5.09	20.510696
4.57	43.157989
4.27	35.019302
4.28	54.842900
4.8	67.294743
4.3	96.579857
4.84	87.921279
