blaser_Sal	sal-ppl
4.92	53.249769
4.3	35.381254
4.5	31.999222
4.69	118.386464
4.93	26.519061
4.15	65.634413
3.09	102.716551
4.54	16.682601
4.06	40.134323
4.33	29.144370
4.78	12.695657
3.77	59.993423
4.98	12.192269
4.57	29.159216
4.67	55.336488
5	18.224411
4.8	18.167337
4.42	143.353544
4.6	30.883293
3.84	88.594208
4.79	61.182493
4.4	119.819783
4.92	132.993503
4.22	71.246841
4.48	161.780547
4.4	39.731806
4.64	86.974816
5.01	51.598896
4.53	40.004207
4.12	250.408887
4.72	21.195859
4.4	37.364475
4.84	21.334879
4.27	35.071189
3.95	346.756994
4.07	207.220439
3.01	30.215636
4.42	44.491731
4	58.989091
3.88	71.142314
4.03	82.781132
4.81	42.193560
4.77	17.063794
3.94	21.567067
4.71	45.241781
3.35	237.097519
4.39	94.920893
4.23	43.547762
4.31	79.586342
4.47	16.939178
4.37	161.512620
4.84	47.031370
4	55.184999
4.41	26.313760
4.35	37.411380
3.74	157.155418
4.66	41.284854
4.5	33.271419
4.88	24.148090
4.97	29.348753
4.07	67.038587
4.36	48.405429
4.9	29.317519
4.62	27.163921
5.02	10.685935
4.66	16.177823
4.74	272.353270
4.8	7.318835
4.62	4.661556
4.96	17.339817
4.84	48.155733
3.62	8.109128
4.52	15.342183
4.25	57.495835
4.57	409.990026
4.16	62.756323
4.6	57.490434
4.65	51.952633
4.7	80.179915
3.5	210.075491
4.4	21.229942
3.98	33.559684
4.51	18.652636
4.62	41.859957
4.41	100.616638
4.36	188.761756
4.5	48.261085
4.75	18.981322
4.47	93.752156
4.13	59.810959
4.66	73.969600
4.79	26.616754
4.19	915.064470
4.12	54.527928
4.9	32.110780
4.29	48.612635
3.26	92.716261
4.86	62.183267
4.57	49.025878
3.95	134.222381
4.18	46.507936
4.81	50.722733
4.55	38.700575
3.42	43.483696
4.58	9.315731
4.9	75.276962
3.89	30.922770
4.41	146.910959
4.07	9.004168
3.98	49.014168
4.73	175.470583
3.74	181.000652
3.23	128.098550
4.77	20.068884
4.42	46.820431
4.54	47.124958
4.44	23.751868
4.58	26.469821
4.51	50.805821
3.98	87.721905
4.83	13.804541
4.84	15.081593
4.28	42.038504
5	177.877841
4.56	28.906014
5.1	41.005825
4.44	114.301492
4.34	41.784346
4.92	43.361245
4.99	25.060042
4.32	9.849099
4.4	30.260622
4.32	215.194642
4.44	34.625090
4.54	27.094770
3.49	92.407612
4.38	90.893186
4.61	8.445710
3.76	53.665864
4.24	164.567150
4.55	57.436044
4.81	14.454747
3.93	46.023510
4.75	44.438936
4.75	39.384863
4.81	24.012570
4.62	53.402043
4.81	165.568185
4.74	19.849541
4.51	41.132990
3.93	442.574130
4.81	166.709043
4.25	93.366926
4.58	130.512626
3.51	1080.855315
4.77	12.445682
5.32	63.695582
4.77	31.902364
4.36	162.403825
4.58	33.865218
3.81	138.766963
4.35	76.450408
4.44	43.518202
3.95	56.163758
3.9	29.365145
4.87	47.565094
4.61	39.997856
4.56	595.041615
4.62	37.137026
4.65	53.592343
4.27	157.102596
4.23	98.748905
4.63	50.336502
4.53	65.163061
4.44	65.567972
4.47	67.219441
4.4	1435.185184
4.62	102.106670
3.92	27.990257
4.35	103.713231
4.74	7.492421
4.47	50.744590
4.83	28.570454
4.88	61.311578
5.13	19.786184
4.57	13.302892
4.29	6.104645
4.66	18.373785
4.87	38.077122
4.06	17.668628
5.01	16.592071
3.99	35.155491
4.31	90.321586
3.02	55.651034
3.99	143.688950
4.36	58.456233
4.49	65.418944
5.01	21.622203
4.71	25.274372
4.52	16.647121
4.86	48.221910
4.72	67.759993
4.51	116.351927
4.23	46.176274
4.49	36.800895
4.59	14.663563
4.92	16.854877
4.8	373.705700
4.76	20.438328
4.86	24.153704
4.7	73.723463
4.32	43.595756
4.43	270.734746
4.78	40.728380
4.07	35.053007
4.15	33.900003
4.85	27.157581
4.9	48.002874
4.43	32.718215
4.65	32.338856
4.6	23.383763
4.58	29.909772
4.76	26.252225
4.45	158.256418
5.09	22.004964
4.81	18.324354
4.74	24.818524
4.67	98.552559
4.88	69.468428
4.73	37.877922
4.97	14.525077
4.57	10.061908
4.76	38.573673
4.59	28.811463
4.57	31.804198
4.97	16.492135
4.5	11.235523
4.38	52.662276
4.21	37.953685
3.09	18.361217
4.35	48.189465
4.92	41.550820
4.95	44.899147
4.76	54.571016
4.98	32.944935
4.76	20.686270
4.32	181.269614
4.98	33.527630
3.41	53.451517
4.09	43.408174
4.19	177.088916
4.28	373.605745
4.44	62.879374
3.93	88.838001
4.51	224.854372
3.14	40.366633
4.16	499.604429
4.98	31.041526
4.37	43.561812
3.17	27.940844
4.52	19.648240
4.97	17.280795
4.12	228.825575
3.7	79.101085
4.38	36.069187
4.69	15.747039
4.76	14.195094
4.58	27.256464
4.49	31.173579
4.06	26.822186
3.66	49.766767
3.89	151.644465
4.37	131.700117
3.88	221.389652
4.4	80.573260
4.77	28.312812
4.18	117.544008
4.7	34.404332
4.51	154.238384
4.2	96.963731
4.25	67.114743
4.57	27.338611
4.78	31.800991
3.77	93.252889
4.47	21.013494
4.19	25.824649
4.97	19.512997
4.62	21.768405
4.66	30.172040
4.55	22.549720
4.5	23.443477
4.37	19.065429
4.6	39.439514
4.55	63.591095
4.58	21.813209
4.6	16.488624
